Week_end,Indicator,High_industry,Value
2019-05-05,Number of paid jobs - 34 days,Total,2090110
2019-05-05,Number of paid jobs - 34 days,A Primary,95150
2019-05-05,Number of paid jobs - 34 days,B Goods Producing,405050
2019-05-05,Number of paid jobs - 34 days,C Services,1570740
2019-05-05,Number of paid jobs - 34 days,Z No Match,19170
2019-05-05,Number of paid jobs - 20 days,Total,1828160
2019-05-05,Number of paid jobs - 20 days,A Primary,79880
2019-05-05,Number of paid jobs - 20 days,B Goods Producing,344320
2019-05-05,Number of paid jobs - 20 days,C Services,1389220
2019-05-05,Number of paid jobs - 20 days,Z No Match,14730
2019-05-05,Number of paid jobs - 6 days,Total,760760
2019-05-05,Number of paid jobs - 6 days,A Primary,39410
2019-05-05,Number of paid jobs - 6 days,B Goods Producing,247780
2019-05-05,Number of paid jobs - 6 days,C Services,467730
2019-05-05,Number of paid jobs - 6 days,Z No Match,5850
2019-05-12,Number of paid jobs - 34 days,Total,2081300
2019-05-12,Number of paid jobs - 34 days,A Primary,90210
2019-05-12,Number of paid jobs - 34 days,B Goods Producing,399670
2019-05-12,Number of paid jobs - 34 days,C Services,1574020
2019-05-12,Number of paid jobs - 34 days,Z No Match,17400
2019-05-12,Number of paid jobs - 20 days,Total,1821610
2019-05-12,Number of paid jobs - 20 days,A Primary,77540
2019-05-12,Number of paid jobs - 20 days,B Goods Producing,341110
2019-05-12,Number of paid jobs - 20 days,C Services,1389260
2019-05-12,Number of paid jobs - 20 days,Z No Match,13700
2019-05-12,Number of paid jobs - 6 days,Total,781460
2019-05-12,Number of paid jobs - 6 days,A Primary,36710
2019-05-12,Number of paid jobs - 6 days,B Goods Producing,248760
2019-05-12,Number of paid jobs - 6 days,C Services,490660
2019-05-12,Number of paid jobs - 6 days,Z No Match,5320
2019-05-19,Number of paid jobs - 34 days,Total,2097310
2019-05-19,Number of paid jobs - 34 days,A Primary,92840
2019-05-19,Number of paid jobs - 34 days,B Goods Producing,403320
2019-05-19,Number of paid jobs - 34 days,C Services,1582150
2019-05-19,Number of paid jobs - 34 days,Z No Match,19000
2019-05-19,Number of paid jobs - 20 days,Total,1815900
2019-05-19,Number of paid jobs - 20 days,A Primary,78170
2019-05-19,Number of paid jobs - 20 days,B Goods Producing,341240
2019-05-19,Number of paid jobs - 20 days,C Services,1382280
2019-05-19,Number of paid jobs - 20 days,Z No Match,14200
2019-05-19,Number of paid jobs - 6 days,Total,764420
2019-05-19,Number of paid jobs - 6 days,A Primary,37580
2019-05-19,Number of paid jobs - 6 days,B Goods Producing,246250
2019-05-19,Number of paid jobs - 6 days,C Services,474910
2019-05-19,Number of paid jobs - 6 days,Z No Match,5690
2019-05-26,Number of paid jobs - 34 days,Total,2115180
2019-05-26,Number of paid jobs - 34 days,A Primary,92510
2019-05-26,Number of paid jobs - 34 days,B Goods Producing,404060
2019-05-26,Number of paid jobs - 34 days,C Services,1598750
2019-05-26,Number of paid jobs - 34 days,Z No Match,19860
2019-05-26,Number of paid jobs - 20 days,Total,1840800
2019-05-26,Number of paid jobs - 20 days,A Primary,77640
2019-05-26,Number of paid jobs - 20 days,B Goods Producing,342170
2019-05-26,Number of paid jobs - 20 days,C Services,1406540
2019-05-26,Number of paid jobs - 20 days,Z No Match,14460
2019-05-26,Number of paid jobs - 6 days,Total,791650
2019-05-26,Number of paid jobs - 6 days,A Primary,38890
2019-05-26,Number of paid jobs - 6 days,B Goods Producing,251440
2019-05-26,Number of paid jobs - 6 days,C Services,495680
2019-05-26,Number of paid jobs - 6 days,Z No Match,5630
2019-06-02,Number of paid jobs - 34 days,Total,2130250
2019-06-02,Number of paid jobs - 34 days,A Primary,92100
2019-06-02,Number of paid jobs - 34 days,B Goods Producing,406040
2019-06-02,Number of paid jobs - 34 days,C Services,1610150
2019-06-02,Number of paid jobs - 34 days,Z No Match,21960
2019-06-02,Number of paid jobs - 20 days,Total,1861190
2019-06-02,Number of paid jobs - 20 days,A Primary,77570
2019-06-02,Number of paid jobs - 20 days,B Goods Producing,344700
2019-06-02,Number of paid jobs - 20 days,C Services,1422480
2019-06-02,Number of paid jobs - 20 days,Z No Match,16450
2019-06-02,Number of paid jobs - 6 days,Total,773460
2019-06-02,Number of paid jobs - 6 days,A Primary,36490
2019-06-02,Number of paid jobs - 6 days,B Goods Producing,251150
2019-06-02,Number of paid jobs - 6 days,C Services,479500
2019-06-02,Number of paid jobs - 6 days,Z No Match,6320
2019-06-09,Number of paid jobs - 34 days,Total,2098050
2019-06-09,Number of paid jobs - 34 days,A Primary,87550
2019-06-09,Number of paid jobs - 34 days,B Goods Producing,401550
2019-06-09,Number of paid jobs - 34 days,C Services,1586790
2019-06-09,Number of paid jobs - 34 days,Z No Match,22160
2019-06-09,Number of paid jobs - 20 days,Total,1855820
2019-06-09,Number of paid jobs - 20 days,A Primary,75510
2019-06-09,Number of paid jobs - 20 days,B Goods Producing,344530
2019-06-09,Number of paid jobs - 20 days,C Services,1417940
2019-06-09,Number of paid jobs - 20 days,Z No Match,17840
2019-06-09,Number of paid jobs - 6 days,Total,763930
2019-06-09,Number of paid jobs - 6 days,A Primary,35580
2019-06-09,Number of paid jobs - 6 days,B Goods Producing,250230
2019-06-09,Number of paid jobs - 6 days,C Services,471700
2019-06-09,Number of paid jobs - 6 days,Z No Match,6420
2019-06-16,Number of paid jobs - 34 days,Total,2107880
2019-06-16,Number of paid jobs - 34 days,A Primary,88060
2019-06-16,Number of paid jobs - 34 days,B Goods Producing,401570
2019-06-16,Number of paid jobs - 34 days,C Services,1594370
2019-06-16,Number of paid jobs - 34 days,Z No Match,23880
2019-06-16,Number of paid jobs - 20 days,Total,1851010
2019-06-16,Number of paid jobs - 20 days,A Primary,75080
2019-06-16,Number of paid jobs - 20 days,B Goods Producing,342580
2019-06-16,Number of paid jobs - 20 days,C Services,1414410
2019-06-16,Number of paid jobs - 20 days,Z No Match,18930
2019-06-16,Number of paid jobs - 6 days,Total,788770
2019-06-16,Number of paid jobs - 6 days,A Primary,36620
2019-06-16,Number of paid jobs - 6 days,B Goods Producing,251580
2019-06-16,Number of paid jobs - 6 days,C Services,493270
2019-06-16,Number of paid jobs - 6 days,Z No Match,7310
2019-06-23,Number of paid jobs - 34 days,Total,2114400
2019-06-23,Number of paid jobs - 34 days,A Primary,88660
2019-06-23,Number of paid jobs - 34 days,B Goods Producing,402330
2019-06-23,Number of paid jobs - 34 days,C Services,1598080
2019-06-23,Number of paid jobs - 34 days,Z No Match,25330
2019-06-23,Number of paid jobs - 20 days,Total,1847560
2019-06-23,Number of paid jobs - 20 days,A Primary,75860
2019-06-23,Number of paid jobs - 20 days,B Goods Producing,343250
2019-06-23,Number of paid jobs - 20 days,C Services,1407740
2019-06-23,Number of paid jobs - 20 days,Z No Match,20710
2019-06-23,Number of paid jobs - 6 days,Total,769490
2019-06-23,Number of paid jobs - 6 days,A Primary,36290
2019-06-23,Number of paid jobs - 6 days,B Goods Producing,248630
2019-06-23,Number of paid jobs - 6 days,C Services,475600
2019-06-23,Number of paid jobs - 6 days,Z No Match,8980
2019-06-30,Number of paid jobs - 34 days,Total,2119540
2019-06-30,Number of paid jobs - 34 days,A Primary,89330
2019-06-30,Number of paid jobs - 34 days,B Goods Producing,401650
2019-06-30,Number of paid jobs - 34 days,C Services,1601450
2019-06-30,Number of paid jobs - 34 days,Z No Match,27100
2019-06-30,Number of paid jobs - 20 days,Total,1851380
2019-06-30,Number of paid jobs - 20 days,A Primary,76170
2019-06-30,Number of paid jobs - 20 days,B Goods Producing,342220
2019-06-30,Number of paid jobs - 20 days,C Services,1410730
2019-06-30,Number of paid jobs - 20 days,Z No Match,22260
2019-06-30,Number of paid jobs - 6 days,Total,765480
2019-06-30,Number of paid jobs - 6 days,A Primary,37220
2019-06-30,Number of paid jobs - 6 days,B Goods Producing,249260
2019-06-30,Number of paid jobs - 6 days,C Services,470520
2019-06-30,Number of paid jobs - 6 days,Z No Match,8480
2019-07-07,Number of paid jobs - 34 days,Total,2101410
2019-07-07,Number of paid jobs - 34 days,A Primary,87580
2019-07-07,Number of paid jobs - 34 days,B Goods Producing,400860
2019-07-07,Number of paid jobs - 34 days,C Services,1590110
2019-07-07,Number of paid jobs - 34 days,Z No Match,22870
2019-07-07,Number of paid jobs - 20 days,Total,1848220
2019-07-07,Number of paid jobs - 20 days,A Primary,75240
2019-07-07,Number of paid jobs - 20 days,B Goods Producing,342960
2019-07-07,Number of paid jobs - 20 days,C Services,1411050
2019-07-07,Number of paid jobs - 20 days,Z No Match,18970
2019-07-07,Number of paid jobs - 6 days,Total,768350
2019-07-07,Number of paid jobs - 6 days,A Primary,35660
2019-07-07,Number of paid jobs - 6 days,B Goods Producing,248370
2019-07-07,Number of paid jobs - 6 days,C Services,475290
2019-07-07,Number of paid jobs - 6 days,Z No Match,9040
2019-07-14,Number of paid jobs - 34 days,Total,2105750
2019-07-14,Number of paid jobs - 34 days,A Primary,88990
2019-07-14,Number of paid jobs - 34 days,B Goods Producing,400690
2019-07-14,Number of paid jobs - 34 days,C Services,1591780
2019-07-14,Number of paid jobs - 34 days,Z No Match,24290
2019-07-14,Number of paid jobs - 20 days,Total,1843920
2019-07-14,Number of paid jobs - 20 days,A Primary,76380
2019-07-14,Number of paid jobs - 20 days,B Goods Producing,341660
2019-07-14,Number of paid jobs - 20 days,C Services,1405800
2019-07-14,Number of paid jobs - 20 days,Z No Match,20080
2019-07-14,Number of paid jobs - 6 days,Total,768500
2019-07-14,Number of paid jobs - 6 days,A Primary,36130
2019-07-14,Number of paid jobs - 6 days,B Goods Producing,249960
2019-07-14,Number of paid jobs - 6 days,C Services,472290
2019-07-14,Number of paid jobs - 6 days,Z No Match,10120
2019-07-21,Number of paid jobs - 34 days,Total,2123440
2019-07-21,Number of paid jobs - 34 days,A Primary,89960
2019-07-21,Number of paid jobs - 34 days,B Goods Producing,402360
2019-07-21,Number of paid jobs - 34 days,C Services,1603410
2019-07-21,Number of paid jobs - 34 days,Z No Match,27710
2019-07-21,Number of paid jobs - 20 days,Total,1861580
2019-07-21,Number of paid jobs - 20 days,A Primary,76080
2019-07-21,Number of paid jobs - 20 days,B Goods Producing,342720
2019-07-21,Number of paid jobs - 20 days,C Services,1420080
2019-07-21,Number of paid jobs - 20 days,Z No Match,22710
2019-07-21,Number of paid jobs - 6 days,Total,771600
2019-07-21,Number of paid jobs - 6 days,A Primary,36060
2019-07-21,Number of paid jobs - 6 days,B Goods Producing,248050
2019-07-21,Number of paid jobs - 6 days,C Services,474680
2019-07-21,Number of paid jobs - 6 days,Z No Match,12810
2019-07-28,Number of paid jobs - 34 days,Total,2138080
2019-07-28,Number of paid jobs - 34 days,A Primary,90930
2019-07-28,Number of paid jobs - 34 days,B Goods Producing,402480
2019-07-28,Number of paid jobs - 34 days,C Services,1613950
2019-07-28,Number of paid jobs - 34 days,Z No Match,30720
2019-07-28,Number of paid jobs - 20 days,Total,1878500
2019-07-28,Number of paid jobs - 20 days,A Primary,76940
2019-07-28,Number of paid jobs - 20 days,B Goods Producing,343050
2019-07-28,Number of paid jobs - 20 days,C Services,1434160
2019-07-28,Number of paid jobs - 20 days,Z No Match,24360
2019-07-28,Number of paid jobs - 6 days,Total,779310
2019-07-28,Number of paid jobs - 6 days,A Primary,35840
2019-07-28,Number of paid jobs - 6 days,B Goods Producing,250750
2019-07-28,Number of paid jobs - 6 days,C Services,479070
2019-07-28,Number of paid jobs - 6 days,Z No Match,13660
2019-08-04,Number of paid jobs - 34 days,Total,2149340
2019-08-04,Number of paid jobs - 34 days,A Primary,91390
2019-08-04,Number of paid jobs - 34 days,B Goods Producing,404350
2019-08-04,Number of paid jobs - 34 days,C Services,1620190
2019-08-04,Number of paid jobs - 34 days,Z No Match,33410
2019-08-04,Number of paid jobs - 20 days,Total,1873450
2019-08-04,Number of paid jobs - 20 days,A Primary,76940
2019-08-04,Number of paid jobs - 20 days,B Goods Producing,343150
2019-08-04,Number of paid jobs - 20 days,C Services,1425590
2019-08-04,Number of paid jobs - 20 days,Z No Match,27780
2019-08-04,Number of paid jobs - 6 days,Total,781100
2019-08-04,Number of paid jobs - 6 days,A Primary,36030
2019-08-04,Number of paid jobs - 6 days,B Goods Producing,250140
2019-08-04,Number of paid jobs - 6 days,C Services,479850
2019-08-04,Number of paid jobs - 6 days,Z No Match,15080
2019-08-11,Number of paid jobs - 34 days,Total,2131690
2019-08-11,Number of paid jobs - 34 days,A Primary,90530
2019-08-11,Number of paid jobs - 34 days,B Goods Producing,400900
2019-08-11,Number of paid jobs - 34 days,C Services,1609140
2019-08-11,Number of paid jobs - 34 days,Z No Match,31130
2019-08-11,Number of paid jobs - 20 days,Total,1852270
2019-08-11,Number of paid jobs - 20 days,A Primary,77740
2019-08-11,Number of paid jobs - 20 days,B Goods Producing,342530
2019-08-11,Number of paid jobs - 20 days,C Services,1405400
2019-08-11,Number of paid jobs - 20 days,Z No Match,26600
2019-08-11,Number of paid jobs - 6 days,Total,799670
2019-08-11,Number of paid jobs - 6 days,A Primary,36780
2019-08-11,Number of paid jobs - 6 days,B Goods Producing,249940
2019-08-11,Number of paid jobs - 6 days,C Services,500000
2019-08-11,Number of paid jobs - 6 days,Z No Match,12950
2019-08-18,Number of paid jobs - 34 days,Total,2139890
2019-08-18,Number of paid jobs - 34 days,A Primary,90340
2019-08-18,Number of paid jobs - 34 days,B Goods Producing,400550
2019-08-18,Number of paid jobs - 34 days,C Services,1617040
2019-08-18,Number of paid jobs - 34 days,Z No Match,31960
2019-08-18,Number of paid jobs - 20 days,Total,1883740
2019-08-18,Number of paid jobs - 20 days,A Primary,77020
2019-08-18,Number of paid jobs - 20 days,B Goods Producing,342350
2019-08-18,Number of paid jobs - 20 days,C Services,1437210
2019-08-18,Number of paid jobs - 20 days,Z No Match,27160
2019-08-18,Number of paid jobs - 6 days,Total,799520
2019-08-18,Number of paid jobs - 6 days,A Primary,35880
